region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394372,140,Beaumont,TX,34,34,38,40,38,38,39,39,37,35,35,32,29,30
395096,141,Shreveport,LA,25,31,40,41,29,37,37,36,36,34,34,34,33,33
395164,142,Trenton,NJ,55,56,57,59,64,60,62,61,62,58,59,55,54,51
394875,143,Montgomery,AL,36,36,38,41,40,38,39,39,36,36,35,33,33,33
394520,144,Davenport,IL,38,40,43,44,39,41,40,39,38,37,37,36,35,35
395146,145,Tallahassee,FL,37,38,40,41,41,41,40,39,38,36,37,36,35,33
394576,146,Eugene,OR,36,35,36,38,36,33,33,33,33,30,30,30,29,29
394901,147,Naples,FL,38,42,42,43,41,45,46,43,42,44,43,38,37,38
394332,148,Ann Arbor,MI,40,42,41,41,41,43,44,36,38,35,37,36,36,32
394927,149,Ocala,FL,38,40,41,43,41,41,42,41,40,40,37,36,34,34
394679,150,Hickory,NC,40,39,40,41,40,39,38,37,37,35,34,34,35,35
394602,152,Fort Collins,CO,37,37,37,39,36,33,30,30,33,29,28,30,30,28
395033,153,Rockford,IL,40,41,44,43,42,42,42,41,41,39,38,36,36,34
394796,154,Lincoln,NE,48,49,44,38,30,39,38,38,37,36,36,35,32,32
394622,155,Gainesville,FL,39,41,43,43,43,38,42,41,40,39,39,37,36,34
394405,156,Boulder,CO,38,35,34,35,34,31,29,30,31,28,29,30,30,28
394646,157,Green Bay,WI,11,12,12,11,13,14,13,13,18,13,14,12,12,14
394488,158,Columbus,GA,29,35,34,33,35,28,34,33,36,36,36,35,32,32
395107,159,South Bend,IN,40,39,34,38,30,39,42,39,37,36,38,37,36,33
395109,160,Spartanburg,SC,38,39,41,39,42,38,38,39,39,38,36,35,34,34
394645,161,Greeley,CO,36,37,38,39,37,34,33,32,34,31,31,32,32,31
394808,162,Lubbock,TX,28,28,29,26,30,28,31,34,33,32,32,31,29,29
394471,163,Clarksville,TN,35,29,30,30,25,37,39,38,40,37,37,35,36,34
395028,164,Roanoke,VA,39,40,41,42,42,39,39,39,39,35,36,34,34,33
394579,165,Evansville,IN,35,35,38,44,30,38,38,37,36,34,35,34,32,32
394747,167,Kingsport,TN,40,39,42,43,42,41,41,41,41,38,37,37,36,34
394741,168,Kennewick,WA,38,38,39,40,40,38,37,36,36,32,31,31,31,31
395179,169,Utica,NY,65,63,62,73,77,68,72,74,76,68,66,64,63,61
394660,170,Hagerstown,MD,42,42,45,45,48,44,42,42,42,38,38,39,39,37
394543,171,Duluth,MN,46,46,47,48,48,48,48,46,43,41,43,43,40,35
394803,173,Longview,TX,27,27,27,27,27,24,30,30,28,27,25,27,26,24
395229,174,Wilmington,NC,36,37,38,39,39,37,36,35,35,32,32,33,33,32
395061,175,San Luis Obispo,CA,36,37,35,39,38,34,33,31,32,29,29,29,29,29
753875,176,Crestview,FL,39,39,40,42,39,34,37,41,41,38,37,36,35,35
394851,177,Merced,CA,34,36,36,37,36,35,33,34,33,29,28,27,29,28
395197,178,Waco,TX,33,35,35,36,37,37,36,35,36,34,33,31,31,30
394447,179,Cedar Rapids,IA,33,43,48,45,35,40,42,41,41,41,43,40,38,37
394348,180,Atlantic City,NJ,64,55,45,50,62,55,69,65,55,65,80,76,58,36
394412,181,Bremerton,WA,35,33,34,35,34,30,30,30,31,29,29,30,29,29
395103,182,Sioux Falls,SD,28,28,28,28,28,28,28,28,28,28,28,28,29,40
395065,183,Santa Cruz,CA,31,31,31,32,30,29,30,30,29,29,28,28,30,27
394572,184,Erie,PA,39,46,45,46,46,45,46,44,43,42,41,40,39,37
394924,185,Norwich,CT,46,47,47,49,46,47,48,46,46,43,43,43,42,37
394323,186,Amarillo,TX,32,32,34,34,33,33,34,33,32,31,31,30,28,29
395171,188,Tuscaloosa,AL,38,39,41,42,43,41,41,40,39,37,37,35,35,34
394483,189,College Station,TX,33,35,35,35,37,39,35,32,34,32,30,29,29,29
394732,190,Kalamazoo,MI,50,49,45,53,52,49,50,51,53,50,50,49,48,47
394811,191,Lynchburg,VA,42,39,39,39,42,37,37,38,38,36,36,35,35,34
395240,193,Yakima,WA,41,40,41,44,43,42,42,41,41,36,34,32,31,31
394585,194,Fargo,ND,22,22,22,22,22,22,22,22,22,22,22,22,22,22
394387,195,Binghamton,NY,43,44,47,57,64,56,62,63,61,58,58,56,56,53
394609,196,Fort Smith,AR,32,32,35,37,36,35,36,35,35,34,33,31,30,32
394334,197,Appleton,WI,11,11,11,11,11,11,11,11,11,11,11,11,11,11
845160,198,Prescott Valley,AZ,36,36,31,37,38,33,34,34,34,31,31,30,30,30
394813,200,Macon,GA,36,37,39,39,39,37,37,36,35,33,35,31,30,31
395174,201,Tyler,TX,33,31,28,28,30,28,29,28,30,32,32,32,33,31
394361,202,Barnstable Town,MA,43,39,37,43,46,45,45,46,47,43,43,43,44,42
394519,203,Daphne,AL,31,31,31,37,29,39,39,37,37,37,35,34,32,38
395030,207,Rochester,MN,40,43,49,49,48,47,53,49,45,43,46,40,34,31
753895,208,Lafayette,IN,30,30,33,36,30,37,38,38,36,36,35,33,33,32
394454,209,Champaign,IL,43,47,48,48,47,48,47,44,44,44,43,39,39,40
394848,210,Medford,OR,37,33,37,41,41,39,39,37,37,35,33,32,30,30
